alias,softness,community,card_gender,label
LED_001,0.002,anime,male,male
LED_002,0.032,anime,male,male
LED_003,0.019,anime,none,male
LED_004,0.044,anime,none,male
LED_005,0.142,anime,none,male
LED_006,0.071,anime,none,male
LED_007,0.032,anime,unknown,male
LED_008,0.053,other,female,male
LED_009,0.035,anime,none,male
LED_010,0.009,anime,none,male
LED_011,0.0,otome,unknown,female
LED_012,0.048,anime,none,male
LED_013,0.023,anime,male,male
LED_014,0.033,anime,none,male
LED_015,0.094,other,unknown,male
LED_016,0.132,anime,none,male
LED_017,0.027,anime,none,male
LED_018,0.063,anime,female,female
LED_019,0.088,anime,none,male
LED_020,0.0,anime,none,male
LED_021,0.039,anime,none,male
LED_022,0.059,anime,female,male
LED_023,0.012,otome,unknown,female
LED_024,0.012,other,unknown,female
LED_025,0.033,anime,male,male
LED_026,0.036,anime,none,male
LED_027,0.026,anime,female,female
LED_028,0.432,anime,none,female
LED_029,0.041,anime,none,male
LED_030,0.109,anime,unknown,male
LED_031,0.152,anime,female,male
LED_032,0.007,otome,unknown,female
LED_033,0.01,otome,unknown,female
LED_034,0.016,other,female,male
LED_035,0.006,otome,unknown,female
LED_036,0.046,other,unknown,female
LED_037,0.0,otome,unknown,female
LED_038,0.059,anime,female,male
LED_039,0.426,anime,unknown,male
LED_040,0.079,anime,unknown,male
LED_041,0.143,otome,unknown,female
LED_042,0.044,anime,male,male
LED_043,0.048,otome,unknown,female
LED_044,0.008,other,unknown,female
LED_045,0.005,other,unknown,male
LED_046,0.039,anime,none,male
LED_047,0.067,anime,none,male
LED_048,0.006,otome,unknown,female
LED_049,0.222,anime,none,male
LED_050,0.086,anime,male,male
LED_051,0.009,other,unknown,female
LED_052,0.0,otome,unknown,female
LED_053,0.044,anime,male,male
LED_054,0.042,other,unknown,female
LED_055,0.025,other,male,male
LED_056,0.095,anime,male,male
LED_057,0.0,otome,unknown,female
LED_058,0.035,otome,unknown,female
LED_059,0.0,otome,unknown,female
LED_060,0.013,otome,unknown,female
LED_061,0.058,anime,none,female
LED_062,0.037,anime,male,male
LED_063,0.029,other,unknown,female
LED_064,0.18,anime,male,male
LED_065,0.0,otome,unknown,female
LED_066,0.011,anime,female,male
LED_067,0.015,anime,none,male
LED_068,0.035,anime,male,male
LED_069,0.004,anime,male,male
LED_070,0.019,other,female,male
LED_071,0.098,anime,male,male
LED_072,0.161,anime,male,male
LED_073,0.0,otome,unknown,female
LED_074,0.195,anime,unknown,female
LED_075,0.059,other,none,female
LED_076,0.534,anime,none,female
LED_077,0.005,other,unknown,male
LED_078,0.08,anime,male,male
LED_079,0.101,anime,unknown,male
LED_080,0.004,anime,female,male
LED_081,0.075,anime,none,male
LED_082,0.031,anime,male,male
LED_083,0.022,anime,male,male
LED_084,0.031,anime,female,female
LED_085,0.51,other,female,female
LED_086,0.015,anime,none,male
LED_087,0.09,anime,unknown,female
LED_088,0.547,anime,none,male
LED_089,0.005,anime,male,male
LED_090,0.121,anime,unknown,male
LED_091,0.027,anime,female,male
LED_092,0.006,anime,male,male
LED_093,0.007,anime,none,male
LED_094,0.012,anime,male,female
LED_095,0.053,otome,unknown,female
LED_096,0.146,anime,male,male
LED_097,0.064,anime,female,male
LED_098,0.284,anime,female,male
LED_099,0.0,anime,unknown,male
