msg_id,day,group,speaker,text
1,2025-01-11,anime-2,SPK_0645,@ 水呢？
2,2025-01-12,anime-2,SPK_0645,@ 那你
3,2025-01-12,anime-2,SPK_0645,跟我玩
4,2025-01-12,anime-2,SPK_0645,@ 左下角那个，换成他弟弟
5,2025-01-12,anime-2,SPK_0645,这东西一眼禁卡，你告诉我牌效没到死的地步？
6,2025-01-12,anime-2,SPK_0645,章鱼哥啊
7,2025-01-12,anime-2,SPK_0349,完了，10条线
8,2025-01-12,anime-2,SPK_0645,@ 星空列车的
9,2025-01-12,anime-2,SPK_0349,我不是，我没有
10,2025-01-12,anime-2,SPK_0645,就抽
11,2025-01-12,anime-2,SPK_0645,现在看别的肯定便宜啊
12,2025-01-12,anime-2,SPK_0645,到时候我帮你弄
13,2025-01-12,anime-2,SPK_1414,我又来喽（
14,2025-01-12,anime-2,SPK_0645,@ 啥意思
15,2025-01-12,anime-2,SPK_0349,南通快爬
16,2025-01-12,anime-2,SPK_0645,@ ？
17,2025-01-12,anime-2,SPK_0645,老师还是，爱我的
18,2025-01-13,anime-2,SPK_0645,你那么怕红爹
19,2025-01-13,anime-2,SPK_0645,不如鲜花
20,2025-01-13,anime-2,SPK_0561,我依稀记得能三连大
21,2025-01-13,anime-2,SPK_0645,现在有萝卜了
22,2025-01-13,anime-2,SPK_0561,倒是听说琉璃后面配合什么很强
23,2025-01-13,anime-2,SPK_0561,我只知道开服的琉璃菜的要死（
24,2025-01-13,anime-2,SPK_0485,满足不了大团圆结局，受不了了
25,2025-01-14,anime-2,SPK_0685,直接买子弹
26,2025-01-14,anime-2,SPK_0685,那确实
27,2025-01-14,anime-2,SPK_0439,喵
28,2025-01-14,anime-2,SPK_0645,@ 亲亲
29,2025-01-14,anime-2,SPK_0645,关于我加白菜steam好友
30,2025-01-14,anime-2,SPK_0645,那
31,2025-01-14,anime-2,SPK_0645,至少
32,2025-01-14,anime-2,SPK_0198,厨子
33,2025-01-14,anime-2,SPK_0131,半年没见吧
34,2025-01-14,anime-2,SPK_0645,@ 什么
35,2025-01-15,anime-2,SPK_0645,如果对面不是刻魔蛇眼
36,2025-01-15,anime-2,SPK_0645,然后晋级都是蛇眼
37,2025-01-15,anime-2,SPK_0645,@ 来跟我睡觉
38,2025-01-15,anime-2,SPK_0645,笨猫
39,2025-01-15,anime-2,SPK_0645,他确实没下！
40,2025-01-15,anime-2,SPK_0645,@ 你怎么知道他有灰而我没指？（）
41,2025-01-15,anime-2,SPK_1137,堑壕还是进攻好玩一点
42,2025-01-15,anime-2,SPK_0645,时尚小垃圾
43,2025-01-15,anime-2,SPK_0958,首秀
44,2025-01-15,anime-2,SPK_0645,这猫干嘛了
45,2025-01-15,anime-2,SPK_0645,帮我肝潮汐
46,2025-01-15,anime-2,SPK_0645,你为什么不帮我卷
47,2025-01-16,anime-2,SPK_0645,@ 那你是什么
48,2025-01-16,anime-2,SPK_0645,等我看完给你截图
49,2025-01-16,anime-2,SPK_1144,好像都删了，一个具有一点攻击性的表情包都木有哩
50,2025-01-16,anime-2,SPK_1103,@ 干什么
51,2025-01-16,anime-2,SPK_0645,@ 那你给我就好了
52,2025-01-16,anime-2,SPK_0645,神秘数字呢
53,2025-01-16,anime-2,SPK_0645,什么时候做V出道
54,2025-01-17,anime-2,SPK_0705,银魔本人来了
55,2025-01-17,anime-2,SPK_0542,一点名堂都没见混出来
56,2025-01-17,anime-2,SPK_0023,国潮拼好饭吗
57,2025-01-17,anime-2,SPK_0645,真的坏啊白菜
58,2025-01-17,anime-2,SPK_0645,我咧个灰蓝啊
59,2025-01-18,anime-2,SPK_1154,大笠王伤害有点夸张了
60,2025-01-18,anime-2,SPK_0791,steam唯一缺点就是主播不好扫码上号
61,2025-01-18,anime-2,SPK_0479,我超
62,2025-01-18,anime-2,SPK_0479,快吗
63,2025-01-19,anime-2,SPK_0685,我今天还生日来着）
64,2025-01-19,anime-2,SPK_0905,这辈子就这样了
65,2025-01-19,anime-2,SPK_0685,@ 贴贴
66,2025-01-19,anime-2,SPK_0976,这个颜色真容易看成真人。
67,2025-01-19,anime-2,SPK_0958,不认识你
