user_id,n_messages,stat_foi,bert_foi,foi_index,ci95_foi,source,orientation
1197677845,524,98.3,100,98.9,2.1,both,双
963653008,1924,96.5,100,97.7,,both,双
443628409,866,95.1,100,96.8,,both,男娘+双
2159492514,964,99.8,64.0,87.3,0.2,both,
2865728637,542,100.0,57.8,85.2,0.0,both,
3969964584,325,89.3,74.4,84.1,0.2,both,
1046636617,1100,75.0,100,83.8,8.6,both,双
3189511804,1494,69.6,100,80.2,,both,同性恋
1295201561,164,74.7,,74.7,,stat,
1306733102,193,71.6,,71.6,,stat,
1026761217,126,70.4,,70.4,,stat,
2309689596,127,65.8,,65.8,,stat,
2992026817,1858,100.0,0,65.0,,both,
2392304699,700,99.7,0,64.8,,both,
1394876195,85,64.2,,64.2,,stat,
2396044690,98,64.1,,64.1,,stat,
1717582,331,98.4,0,64.0,4.3,both,
3236380896,969,56.6,77.2,63.8,17.5,both,
3405033743,137,63.4,,63.4,,stat,
1346331874,79,63.2,,63.2,,stat,
2047556159,78,63.0,,63.0,,stat,
3211949082,81,62.9,,62.9,,stat,
3175513496,146,61.9,,61.9,,stat,
2871749066,71,61.8,,61.8,,stat,
3486940942,198,61.7,,61.7,,stat,
1359316569,70,61.5,,61.5,,stat,
516370164,70,61.5,,61.5,,stat,
2772883784,64,60.6,,60.6,,stat,
2218332879,63,60.5,,60.5,,stat,
2633083674,12525,38.7,100,60.2,2.2,both,双
1683253039,316,92.6,0,60.2,0.0,both,
2957772437,338,91.0,0,59.1,0.0,both,
2379295254,59,57.6,,57.6,,stat,
1256596164,70,56.5,,56.5,,stat,
3342399928,43,56.4,,56.4,,stat,
2011471689,43,56.4,,56.4,,stat,
2832738334,38,56.3,,56.3,,stat,
1621199290,50,56.3,,56.3,,stat,
3474281929,50,56.3,,56.3,,stat,
2098036275,51,56.2,,56.2,,stat,
2275091518,75,55.6,,55.6,,stat,
1679730202,34,55.5,,55.5,,stat,
3198593440,33,55.4,,55.4,,stat,
819141500,60,55.1,,55.1,,stat,
838969717,243,30.8,100,55.0,0.3,both,
370440143,51,54.8,,54.8,,stat,
3360345621,1141,84.0,0,54.6,0.8,both,
1730842824,27,54.5,,54.5,,stat,
523918949,27,54.5,,54.5,,stat,
1580128746,67,54.4,,54.4,,stat,
