QQ号,消息数,LGBT小众性取向指数
2633083674,12577,100.0
3343564058,4394,100.0
1517003939,963,100.0
972242500,756,100.0
185327596,713,100.0
3470618647,1264,100.0
2948988043,1172,100.0
778949261,870,100.0
3236380896,969,100.0
3600881346,1257,100.0
3615168664,1175,100.0
1132770943,520,100.0
1691385599,1998,100.0
2757698037,455,100.0
1453224144,470,100.0
1395833200,308,100.0
1654115451,672,100.0
1803703473,1798,100.0
1591798171,455,100.0
2059500534,544,100.0
3204748035,472,100.0
3474710392,453,100.0
2956792638,665,100.0
3299633484,305,100.0
2217751975,692,100.0
2628621911,636,100.0
3969964584,325,100.0
3667474034,346,100.0
1197677845,524,100.0
3132722816,318,100.0
443628409,866,100.0
2761555701,275,95.8
3687436863,244,90.7
2215395997,239,89.8
1969079577,225,87.5
769967529,154,75.7
153015434,141,73.5
1690566527,139,73.2
2309689596,127,71.2
3160582860,108,68.0
1729784739,94,65.7
1535752674,86,64.3
370440143,51,58.5
1328642501,51,58.5
2903913328,29,54.8
1730842824,27,54.5
2920974992,14,52.3
1641691929,3,50.5
1758377193,3,50.5
3178142562,1,49.8
3050606847,1,49.8
2126182939,1,49.8
2622925346,1,49.8
2764502669,1,49.8
1033239240,1,49.8
3365845834,1,49.8
1814967597,1,49.8
3839783038,1,49.8
3273354183,1,49.8
2700418201,1,49.8
1095049312,1,49.8
1186358507,1,49.8
205292669,1,49.8
2363134035,1,49.8
332989890,1,49.8
1215416281,1,49.8
1535612102,1,49.8
573661912,1,49.8
3464447910,1,49.8
2837292525,1,49.8
1478273559,1,49.8
1466659326,1,49.8
2432451108,1,49.8
2167607065,1,49.8
328233165,1,49.8
471585490,1,49.8
2955708050,1,49.8
177571686,1,49.8
3182405212,1,49.8
1733965813,1,49.8
3459162091,1,49.8
3410183925,1,49.8
3411099516,1,49.8
2607822643,1,49.8
3762347022,1,49.8
361906568,1,49.8
1391858600,1,49.8
2971152503,1,49.8
1690901375,1,49.8
2221632836,1,49.8
2751916390,1,49.8
2475148281,1,49.8
865957733,1,49.8
1455407613,1,49.8
870750800,1,49.8
1770628184,1,49.8
1085084701,1,49.8
3469950794,1,49.8
476637481,1,49.8
383652341,1,49.8
3251083209,1,49.8
2517292130,1,49.8
3022909483,1,49.8
3509208132,1,49.8
402131373,1,49.8
2962814434,1,49.8
2967515079,1,49.8
1969234374,1,49.8
2645162546,1,49.8
2214287461,1,49.8
313668063,1,49.8
2770905437,1,49.8
2372627875,1,49.8
2077956030,1,49.8
1124951894,1,49.8
1302829348,1,49.8
3222180836,1,49.8
2608558852,1,49.8
107655586,1,49.8
1429815430,1,49.8
1643248271,1,49.8
3570551592,1,49.8
1344223523,1,49.8
1696543071,1,49.8
