user_id,n_messages,mean,std,range,flip_count,pred_v7,disagreement,p_bert-v10,p_bert-v10-synth,p_bert-v10-wb,p_bert-v7,label,votes_male,votes_female,boundary_std,pred_main
2673619125,5779,0.2775,0.3991,0.9524,1,male,中,0.965,0.0156,0.0126,0.1167,male,3,1,0.6765,male
3570551592,1,0.2911,0.3941,0.9447,1,male,中,0.9714,0.0267,0.0509,0.1156,,3,1,0.6713,male
3096131624,1,0.5457,0.4348,0.9672,2,female,高,0.9794,0.2227,0.0121,0.9688,,2,2,0.6301,male
2240678047,146,0.2945,0.3423,0.8672,1,male,中,0.8779,0.1828,0.0107,0.1064,,3,1,0.6272,male
2020870799,4,0.4355,0.3413,0.8868,1,male,中,0.967,0.4916,0.0802,0.2032,,3,1,0.6249,male
2040825278,5,0.3357,0.3418,0.8273,1,male,中,0.9219,0.0946,0.2176,0.1087,,3,1,0.6169,male
1730842824,27,0.4355,0.3437,0.8112,1,male,中,0.8732,0.6673,0.062,0.1395,,3,1,0.613,male
185327596,737,0.7374,0.4191,0.978,3,female,高,0.9895,0.9824,0.0115,0.966,male,1,3,0.6116,male
3486940942,198,0.326,0.3199,0.8005,1,male,中,0.8709,0.2331,0.0704,0.1295,,3,1,0.6055,male
1066781717,4,0.4871,0.3893,0.8816,1,male,中,0.9808,0.0993,0.7553,0.113,,3,1,0.6052,male
2876313917,1,0.4971,0.4303,0.9369,2,female,高,0.8687,0.093,0.0449,0.9818,,2,2,0.603,male
705422032,2,0.2445,0.3233,0.7698,1,male,中,0.8015,0.0317,0.0324,0.1123,,3,1,0.6014,male
2393609136,2,0.4429,0.317,0.8475,1,male,中,0.9612,0.4075,0.2891,0.1137,,3,1,0.5998,male
2973709968,13,0.4822,0.3263,0.8086,1,male,中,0.921,0.6646,0.2308,0.1124,,3,1,0.599,male
1524133065,26,0.3196,0.3126,0.8132,1,male,中,0.8434,0.2537,0.0302,0.151,,3,1,0.5979,male
2628621911,638,0.3701,0.3225,0.7894,1,male,中,0.8052,0.5509,0.0158,0.1084,male,3,1,0.5967,male
2905709898,1,0.5116,0.4053,0.8431,1,male,中,0.9465,0.1034,0.8863,0.1103,,3,1,0.5966,male
3300719069,64,0.5078,0.3906,0.9321,1,male,中,0.9678,0.0356,0.2174,0.8103,,3,1,0.5948,male
