QQ号,消息数,XNN男娘指数
2992026817,1862,100.0
2865728637,542,100.0
2392304699,701,99.9
2159492514,975,99.9
1717582,331,99.3
2933474490,2956,99.0
963653008,1928,98.3
1197677845,524,98.0
443628409,866,96.6
1683253039,319,95.6
2957772437,338,94.7
3360345621,1142,89.3
1046636617,1100,81.4
2121888461,1447,78.1
2948988043,1172,77.9
3189511804,1494,76.2
2298816342,1206,75.9
1295201561,164,75.9
2093211983,6148,75.6
1306733102,193,75.1
3969964584,325,74.3
1026761217,126,70.7
2309689596,127,67.8
3405033743,137,66.2
3486940942,198,66.1
2396044690,98,65.1
3175513496,146,65.1
1394876195,85,64.2
1649134132,243,64.1
1346331874,79,63.2
3211949082,81,63.2
2047556159,78,63.0
1359316569,72,61.9
894841302,163,61.9
2871749066,71,61.8
516370164,70,61.6
2772883784,64,60.7
1915964334,239,60.6
2218332879,63,60.5
3494489531,1569,59.4
3343564058,4394,59.1
2379295254,59,58.5
1256596164,70,57.9
2098036275,51,57.1
1621199290,50,57.1
3474281929,50,57.1
2275091518,76,57.0
2011471689,43,56.7
3342399928,43,56.7
819141500,60,56.4
2832738334,38,56.3
3236380896,969,56.2
1580128746,67,55.9
1679730202,34,55.6
3198593440,33,55.5
1520163187,276,55.3
2497910862,1981,55.0
715272580,87,54.7
258273408,87,54.7
523918949,27,54.5
1524133065,26,54.3
2786339319,3012,53.9
2960545085,22,53.7
3075342269,22,53.5
318210780,20,53.3
109143408,20,53.3
2581570459,17,52.8
1255353837,17,52.8
3152570185,77,52.7
2920974992,14,52.3
2838251598,97,52.0
768859825,10,51.7
2066530468,9,51.5
2685208252,9,51.5
3042716668,9,51.5
2898842718,6,51.0
2137403764,5,50.8
3201374145,4,50.7
1814967597,1,50.2
1095049312,1,50.2
1915374928,1,50.2
3096131624,1,50.2
3178142562,1,49.8
3050606847,1,49.8
2126182939,1,49.8
2622925346,1,49.8
2764502669,1,49.8
1033239240,1,49.8
3365845834,1,49.8
3839783038,1,49.8
3273354183,1,49.8
2700418201,1,49.8
1186358507,1,49.8
205292669,1,49.8
2363134035,1,49.8
332989890,1,49.8
1215416281,1,49.8
1535612102,1,49.8
573661912,1,49.8
3464447910,1,49.8
2837292525,1,49.8
1478273559,1,49.8
1466659326,1,49.8
2432451108,1,49.8
2167607065,1,49.8
328233165,1,49.8
471585490,1,49.8
2955708050,1,49.8
177571686,1,49.8
3182405212,1,49.8
1733965813,1,49.8
3459162091,1,49.8
3410183925,1,49.8
3411099516,1,49.8
2607822643,1,49.8
3762347022,1,49.8
361906568,1,49.8
1391858600,1,49.8
2971152503,1,49.8
1690901375,1,49.8
2221632836,1,49.8
2751916390,1,49.8
2475148281,1,49.8
865957733,1,49.8
1455407613,1,49.8
870750800,1,49.8
1770628184,1,49.8
1085084701,1,49.8
3469950794,1,49.8
476637481,1,49.8
383652341,1,49.8
3251083209,1,49.8
2517292130,1,49.8
3022909483,1,49.8
3509208132,1,49.8
402131373,1,49.8
2962814434,1,49.8
2967515079,1,49.8
1969234374,1,49.8
2645162546,1,49.8
2214287461,1,49.8
313668063,1,49.8
2770905437,1,49.8
2372627875,1,49.8
2077956030,1,49.8
1124951894,1,49.8
1302829348,1,49.8
3222180836,1,49.8
2608558852,1,49.8
107655586,1,49.8
1429815430,1,49.8
1643248271,1,49.8
3570551592,1,49.8
1344223523,1,49.8
1696543071,1,49.8
1260885002,1,49.8
2574358323,1,49.8
1476425991,1,49.8
3199744085,1,49.8
2457135714,1,49.8
1192369142,1,49.8
2124893405,1,49.8
3274263575,1,49.8
3309639790,1,49.8
1655397613,1,49.8
2634580819,1,49.8
2639443801,1,49.8
2906939562,1,49.8
3211171486,1,49.8
1649626155,1,49.8
3843991698,1,49.8
168310897,1,49.8
1770630961,1,49.8
2016648097,1,49.8
1872736113,1,49.8
2694509307,1,49.8
815047038,1,49.8
2905709898,1,49.8
2141774742,1,49.8
2605509265,1,49.8
1747314196,1,49.8
2537717607,1,49.8
870208348,1,49.8
2258034518,1,49.8
1078205537,1,49.8
1053107962,1,49.8
2876313917,1,49.8
3313266602,1,49.8
1654463506,1,49.8
1612529173,1,49.8
359576824,1,49.8
3452867113,1,49.8
2984738151,1,49.8
3857664008,1,49.8
3212471492,1,49.8
2825232647,1,49.8
3025626397,1,49.8
1578765993,1,49.8
1447134293,1,49.8
2497334418,1,49.8
1311887667,1,49.8
3206750249,1,49.8
3984054196,1,49.8
615689149,1,49.8
1300244579,1,49.8
1654247688,1,49.8
1776413719,1,49.8
2096281742,1,49.8
3129570076,1,49.8
2026691756,2,49.7
253686882,2,49.7
422237779,2,49.7
2755702157,2,49.7
873848505,2,49.7
113870842,2,49.7
2544316998,2,49.7
235055323,2,49.7
3100603151,2,49.7
1850747255,2,49.7
2016973143,2,49.7
1319672117,2,49.7
2169889906,2,49.7
2751416986,2,49.7
1984129480,2,49.7
1627325107,2,49.7
2695836817,2,49.7
2729898310,2,49.7
577283024,2,49.7
705422032,2,49.7
2393609136,2,49.7
3340660674,2,49.7
3114885736,2,49.7
2926987882,2,49.7
2926481986,2,49.7
1526507854,2,49.7
2452382514,2,49.7
2090135719,2,49.7
2994716319,2,49.7
1976949323,2,49.7
1532878220,2,49.7
1061314353,2,49.7
1335412793,2,49.7
1517808818,2,49.7
1872211308,2,49.7
1640950184,2,49.7
2939948918,2,49.7
3088465867,2,49.7
2082785707,2,49.7
1743790449,2,49.7
2371846523,2,49.7
1249120038,2,49.7
2513688454,2,49.7
3514684039,2,49.7
3630670898,2,49.7
591120820,2,49.7
2657610294,2,49.7
2712253484,2,49.7
1431682928,2,49.7
1957762024,2,49.7
1254700092,2,49.7
1031281769,2,49.7
3121338245,2,49.7
3372817346,2,49.7
3783833591,2,49.7
2898477135,2,49.7
2221043945,2,49.7
2908607342,2,49.7
3628450744,2,49.7
2873972044,2,49.7
1304360148,2,49.7
717340787,2,49.7
3816865038,2,49.7
487470538,2,49.7
334994247,2,49.7
3378046534,2,49.7
3230040069,2,49.7
2942096394,2,49.7
2365598130,2,49.7
3536585707,2,49.7
3677552024,2,49.7
3163809992,2,49.7
1973028240,2,49.7
2822611983,2,49.7
196894397,2,49.7
3522791482,2,49.7
2864743001,2,49.7
1121620349,2,49.7
1292429571,2,49.7
2948409843,2,49.7
1569859203,2,49.7
892142294,2,49.7
3260811582,2,49.7
1307682674,3,49.5
3404054197,3,49.5
1375566511,3,49.5
1641691929,3,49.5
2912029529,3,49.5
2059028439,3,49.5
2455561354,3,49.5
3619383163,3,49.5
2432751282,3,49.5
3359965313,3,49.5
3109194831,3,49.5
569064044,3,49.5
1663613847,3,49.5
2246559898,3,49.5
3428127879,3,49.5
3263587513,3,49.5
3844203585,3,49.5
3109853083,3,49.5
2698498501,3,49.5
3889001741,3,49.5
2961131384,3,49.5
3491208339,3,49.5
1003492579,3,49.5
1021336121,3,49.5
3048842262,3,49.5
292623113,3,49.5
1470876678,3,49.5
3115342293,3,49.5
3064971528,3,49.5
1115154487,3,49.5
2260496798,3,49.5
1813203341,3,49.5
22594765,3,49.5
3460562526,3,49.5
504061990,3,49.5
648593159,3,49.5
1758377193,3,49.5
3155407924,3,49.5
3822544339,3,49.5
1310430687,3,49.5
194217991,3,49.5
1063896099,3,49.5
2605499199,3,49.5
1030352690,3,49.5
3529257351,3,49.5
366846723,3,49.5
1165638972,3,49.5
1767160766,3,49.5
1419045586,3,49.5
2206993556,3,49.5
2220932119,3,49.5
2799856190,3,49.5
2500950833,3,49.5
3358351641,4,49.4
3537261081,4,49.4
2711278704,4,49.4
1610059852,4,49.4
2630828862,4,49.4
2546587356,4,49.4
2857653200,4,49.4
2268439176,4,49.4
361023813,4,49.4
2441689447,4,49.4
1066781717,4,49.4
2020870799,4,49.4
2050269982,4,49.4
1421971856,4,49.4
1984601493,4,49.4
280945516,4,49.4
1556751965,4,49.4
2743046593,4,49.4
2132820072,4,49.4
2987712942,4,49.4
1916238894,4,49.4
1542414308,4,49.4
3496556249,4,49.4
1713122524,4,49.4
1634620632,4,49.4
2454494994,4,49.4
1291706912,4,49.4
2685879549,4,49.4
741391575,4,49.4
1715277890,4,49.4
3140045413,4,49.4
2259881867,4,49.4
3421213950,4,49.4
1540602849,4,49.4
3136064047,4,49.4
2040825278,5,49.2
2352245213,5,49.2
2756308289,5,49.2
1976685198,5,49.2
3506751736,5,49.2
1753188786,5,49.2
1958581299,107,49.2
3059377663,5,49.2
2738424708,5,49.2
276185909,5,49.2
2091313430,5,49.2
3382252371,5,49.2
3373877108,5,49.2
2601372420,5,49.2
2191773974,5,49.2
58098780,5,49.2
2763054170,5,49.2
2938388734,5,49.2
1411877823,5,49.2
2024386307,6,49.1
2141537659,6,49.1
2990886725,6,49.1
3137371782,6,49.1
1208417760,6,49.1
1633349544,6,49.1
3569897016,6,49.1
3801750523,6,49.1
519859947,6,49.1
484417593,6,49.1
1349104839,6,49.1
2012924401,6,49.1
2457391220,6,49.1
551703226,6,49.1
1225663461,6,49.1
2918632355,6,49.1
2012914170,6,49.1
1025505036,6,49.1
919157563,6,49.1
565091745,6,49.1
2302991665,6,49.1
1119231435,6,49.1
2867958627,7,48.9
2446557267,7,48.9
2862783401,7,48.9
3482880952,7,48.9
2854196310,7,48.9
1413901632,7,48.9
847338913,7,48.9
1301862569,7,48.9
2061904931,7,48.9
3090048076,7,48.9
1714153180,7,48.9
3101803540,7,48.9
1956572232,7,48.9
2057335616,7,48.9
2557651656,7,48.9
2859527305,7,48.9
2868287400,7,48.9
2785696076,8,48.8
3461383089,8,48.8
3556307996,8,48.8
2097954867,8,48.8
2983573785,8,48.8
239582673,8,48.8
912805610,8,48.8
2530637602,8,48.8
2129976093,8,48.8
664387673,8,48.8
2260485866,8,48.8
3496534579,8,48.8
2070563816,8,48.8
2708557384,8,48.8
2427339520,9,48.6
3921521449,9,48.6
780513678,9,48.6
3032167091,9,48.6
1035825498,9,48.6
3304400858,9,48.6
474790083,9,48.6
1607456429,9,48.6
2768774146,9,48.6
1714764517,9,48.6
2446368569,9,48.6
3510954117,109,48.6
3144325150,9,48.6
2740088195,9,48.6
1551278665,10,48.4
1989980062,10,48.4
2303813154,10,48.4
2774659614,10,48.4
2834417063,10,48.4
3112851232,10,48.4
2123043464,10,48.4
731520043,10,48.4
359978183,10,48.4
1443639178,10,48.4
3176908892,10,48.4
1980674366,10,48.4
3418785446,10,48.4
1311963314,10,48.4
2017096956,11,48.3
3139540635,11,48.3
320840096,11,48.3
213675049,11,48.3
334239262,12,48.1
3041114841,12,48.1
3154165894,12,48.1
3312088057,12,48.1
1557952100,12,48.1
2632486732,12,48.1
971494602,12,48.1
3500776446,12,48.1
3089584530,12,48.1
1435332517,13,48.0
2256125929,13,48.0
2127909363,13,48.0
1919616377,13,48.0
935114161,13,48.0
3561038562,13,48.0
2973709968,13,48.0
2974912735,13,48.0
2628586199,13,48.0
3230567402,13,48.0
3149308400,13,48.0
3343831509,13,48.0
355117653,13,48.0
1963142069,14,47.8
827218279,14,47.8
2980635289,14,47.8
3066852293,14,47.8
2167816329,14,47.8
2071284680,14,47.8
3350976513,14,47.8
3086619470,14,47.8
3149791151,14,47.8
2287914362,15,47.7
2780529603,15,47.7
1592012873,15,47.7
1194251507,15,47.7
1786412351,15,47.7
1684184208,15,47.7
2721649744,15,47.7
2124957352,16,47.5
2898002012,16,47.5
1453845931,16,47.5
2830825244,17,47.3
1934965355,17,47.3
2309951996,17,47.3
3310842712,17,47.3
2917019169,17,47.3
2963608471,17,47.3
1255653441,17,47.3
3047872725,17,47.3
3434568972,18,47.2
1271605473,18,47.2
671009847,18,47.2
2720682032,19,47.0
839217225,19,47.0
3375089145,19,47.0
1542746253,19,47.0
2680590729,20,46.9
3542133092,20,46.9
815241872,21,46.7
2144895949,21,46.7
1137219009,21,46.7
550923929,21,46.7
1218176906,21,46.7
964339372,21,46.7
3273348715,21,46.7
0,21,46.7
1990240358,22,46.6
1373718790,22,46.6
2664463054,22,46.6
2457808909,22,46.6
1403627771,22,46.6
3646641706,22,46.6
1307158851,23,46.4
3080136233,23,46.4
2281047532,23,46.4
2775323636,23,46.4
3512990030,25,46.1
1813651236,26,45.9
291644744,26,45.9
2282476488,26,45.9
1665977138,26,45.9
2952216258,26,45.9
3103856427,27,45.8
486876012,27,45.8
1730842824,27,45.8
55766131,28,45.6
3586675483,28,45.6
2632319788,29,45.5
727590975,29,45.5
1810803635,29,45.5
2903913328,29,45.5
2608167684,63,45.3
461852726,30,45.3
1942879534,30,45.3
3142038499,30,45.3
3086174232,31,45.2
3102598541,31,45.2
761792150,32,45.0
2698794273,32,45.0
972242500,756,44.9
3383510892,33,44.9
2128099887,35,44.5
2934143347,35,44.5
2819659340,36,44.4
2454609295,36,44.4
3092786685,37,44.2
2149615065,37,44.2
997725316,39,43.9
1459349874,40,43.8
2506353560,40,43.8
848935437,40,43.8
2028798450,41,43.6
1635604991,43,43.3
2896319700,43,43.3
2980156716,2963,43.1
3887840391,44,43.1
2522720040,45,43.0
1359074722,46,42.8
264128713,47,42.7
1289943440,47,42.7
1312167436,48,42.5
3176408669,48,42.5
1772357652,49,42.4
2407973786,50,42.2
370440143,51,42.0
1328642501,51,42.0
2434708716,51,42.0
941779229,51,42.0
2633083674,12577,41.8
3038117065,53,41.7
360504185,57,41.1
240733212,57,41.1
1153685627,124,41.0
3613984924,60,40.6
1850705118,60,40.6
3093900534,61,40.5
399605976,61,40.5
1372648150,61,40.5
2240678047,140,40.4
3590861473,86,40.4
1813021745,62,40.3
1434248728,63,40.2
1950459258,63,40.2
996142639,64,40.0
1420074421,64,40.0
3300719069,64,40.0
614899551,64,40.0
2805226872,65,39.9
1686225786,67,39.6
1434594208,67,39.6
3806546559,69,39.2
121223766,71,38.9
1504831653,71,38.9
2848452227,75,38.3
2456116695,76,38.1
2754717141,77,38.0
3848934393,77,38.0
1243287854,78,37.8
2789792430,78,37.8
3299633484,305,37.7
75400950,79,37.7
1692608760,80,37.5
1206257577,80,37.5
2187786386,81,37.4
1052118227,82,37.2
769967529,154,37.1
1252674979,85,36.7
1535752674,86,36.6
348105425,87,36.4
3460193817,89,36.1
439161815,588,36.0
1986993074,91,35.8
1297578920,92,35.7
2981609681,92,35.7
1729784739,94,35.3
2053116169,94,35.3
2673619125,5776,35.0
2761555701,275,34.6
2787348087,102,34.1
3160582860,108,33.2
629451839,110,32.8
1461233598,110,32.8
1399716483,1979,32.7
1053113173,113,32.4
284256062,113,32.4
2625878289,118,31.6
838969717,244,31.4
1453224144,470,30.6
3273142441,176,29.5
994731751,217,28.9
1690566527,139,28.3
1109865307,140,28.2
153015434,141,28.0
1654115451,672,27.3
1075942968,146,27.2
1716842937,151,26.5
375569635,8082,25.8
2039953725,322,25.8
3021795514,157,25.5
1591798171,455,24.6
3544142951,378,24.5
2217751975,692,24.3
1306507065,166,24.1
1579914298,219,24.0
995002583,170,23.5
1563184800,171,23.3
3384346427,173,23.0
2032224637,177,22.4
2603237129,179,22.1
3585064027,180,21.9
3542441640,219,21.8
2375270869,183,21.5
3615168664,1175,21.5
3395457558,643,21.5
3441452166,1779,21.2
3820731905,191,20.2
2713471283,192,20.1
3202322974,198,19.1
234300537,202,18.5
3507606624,203,18.3
1744316083,240,18.2
2048295328,207,17.7
3687436863,244,17.5
1521768316,1512,17.3
1502644079,214,16.6
2213154584,295,16.2
1220384810,604,16.2
843573361,408,15.9
1965417382,1113,15.6
1969079577,225,14.9
2752727290,1696,14.3
1710542247,442,14.2
2564868713,4715,14.0
3042290870,426,13.6
2217452704,334,13.2
2215395997,239,12.7
1533543086,5000,12.5
2604093609,4024,11.2
2429967889,4358,10.7
2498419003,256,10.1
2690901742,256,10.1
1703380767,1109,9.9
1757193004,299,9.9
2803093623,11924,9.7
1460302324,686,9.7
3600881346,1257,9.7
1395833200,308,9.5
1455830769,308,9.5
3171166989,261,9.3
2628621911,636,9.2
3132722816,318,9.2
778949261,870,9.0
3204748035,472,8.9
1921151252,1037,8.7
844793387,973,8.1
3488095996,662,8.1
1691385599,1998,7.6
2956792638,665,7.5
1490494694,6160,7.4
3667474034,346,7.2
185327596,713,7.1
3474710392,453,6.8
3506136039,784,6.6
1517003939,963,6.5
2760992428,397,6.5
1142604266,1157,6.3
3470618647,1264,6.3
2587025229,505,6.3
3510716918,445,6.1
1792368625,789,6.0
2059500534,544,6.0
1640440761,495,5.7
1132770943,520,5.5
3457612243,2454,5.3
1215892967,804,4.9
2790228256,291,4.6
1115092215,896,4.4
1531322158,949,4.3
2840939122,497,4.3
1853545312,2650,4.1
2843847500,330,3.2
2049014399,411,3.2
1206156741,574,3.2
2757698037,455,3.2
1803703473,1798,3.2
3058166700,1123,3.2
3541215132,360,3.2
2961151375,328,3.2
